Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
Oilman	0	0	0	0	7	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	1	2	0	0	0	1	4	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	1	0	1	0	0	1	3	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	1	0	2	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	2	2	1	0	0	1	0	0	1	0	0	0	0	3	0	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	5	0	1	1	0	0	0	2	2	0	4	0	0	0	0	0	1	0	0	1	0	1	1	0	3	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	2	2	0	0	1	0	0	0	1	0	2	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	3	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	2	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	10	0	0	0	1	0	4	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0
Joi Ito's Web	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	2	0	2	0	1	0	0	0	1	0	1	1	0	0	2	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	1	0	1	1	2	0	2	0	1	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0	3	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	2	0	0	0	1	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6
A Consuming Experience (full feed)	0	0	0	16	0	0	1	2	9	2	0	13	1	0	2	1	2	0	4	0	1	1	0	2	2	12	1	5	10	6	9	2	0	9	13	0	0	1	7	0	2	0	5	3	0	29	0	4	3	2	2	0	8	3	0	0	0	0	0	0	13	0	0	1	4	11	4	2	0	0	0	1	3	1	2	0	0	6	6	11	3	0	0	10	0	1	6	20	1	0	0	0	0	17	1	7	3	6	0	0	2	0	0	0	0	18	1	2	0	0	5	8	2	0	0	8	0	1	3	0	0	13	3	0	1	0	0	19	3	1	1	0	0	1	1	0	20	15	0	1	0	34	8	5	3	2	0	16	0	0	0	0	1	0	3	0	0	9	0	15	4	0	2	0	0	0	0	1	4	0	14	0	0	4	0	1	5	2	19	1	0	0	0	0	0	1	2	0	0	0	10	7	2	0	2	0	0	0	3	0	2	2	0	0	0	1	0	4	8	2	2	11	3	5	2	0	4	3	7	0	14	0	18	2	0	0	0	0	1	1	0	8	3	0	0	10	8	5	2	0	0	0	0	0	0	2	0	1	13	1	0	1	1	0	12	2	3	0	0	0	3	2	0	19	1	0	5	1	0	2	0	1	2	18	10	30	0	5	3	0	8	0	1	2	0	0	15	0	0	29	0	0	0	0	13	2	1	10	0	0	3	2	2	17	0	0	0	3	0	4	2	0	17	6	0	1	2	0	0	16	1	0	0	6	4	0	0	0	1	1	0	0	1	0	1	3	0	0	5	0	9	6	1	0	0	3	0	13	0	0	0	2	1	4	8	1	0	1	0	18	3	0	4	0	0	5	2	0	12	1	12	0	2	4	6	1	7	8	3	1	0	3	0	2	2	4	6	0	2	0	3	0	3	6	10	1	0	0	13	1	1	1	0	2	11	1	6	0	0	4	1	0	0	5	18	5	1	24	7	3	0	3	0	22	0	1	0	1	1	0	1	2	0	0	0	0	18	2	0	3	1	4	4	0	1	5	0	0	4	0	6	0	4	16	3	10	0	2	2	14	2	3	0	4	0	0
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	5	1	0	3	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	6	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	1	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	15	0	0	0	0	1	4	2	1	0	1	1	0	2	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	2	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	5	1	0	0	3	0	0	0	1	1	0	0	0	0	0	1
The Official Google Blog	1	7	0	12	3	6	3	2	7	0	6	32	1	5	0	2	6	1	7	8	1	3	9	7	4	16	8	0	8	7	35	8	2	17	34	5	2	7	4	5	12	4	2	15	14	4	2	1	7	8	3	0	11	7	2	11	5	17	28	4	14	0	20	1	1	2	6	5	3	2	0	3	6	3	1	5	18	13	4	3	5	0	0	27	10	0	8	16	10	13	1	0	2	11	1	6	2	0	11	1	5	28	13	2	4	3	16	5	3	2	2	9	1	5	1	7	3	2	2	3	2	2	1	5	0	0	9	15	12	4	5	5	4	3	4	2	1	9	6	3	2	5	13	33	3	8	0	11	5	10	1	3	0	9	1	2	1	3	4	10	1	8	1	6	2	2	6	7	8	1	19	0	40	2	3	2	21	15	9	2	0	4	2	14	3	6	1	1	1	2	4	1	5	5	3	3	7	2	2	5	21	6	2	0	8	1	3	1	2	4	1	6	4	14	3	10	1	1	2	21	10	3	0	7	2	0	1	4	7	3	1	18	2	6	7	1	8	3	1	3	9	2	14	3	8	8	1	0	17	11	5	2	11	3	10	2	5	2	3	1	3	1	3	4	14	1	2	2	2	2	7	1	10	15	5	27	0	1	3	1	4	3	2	1	10	5	7	0	0	35	0	2	2	1	21	2	3	19	7	2	24	13	4	36	3	4	0	7	1	10	8	1	3	1	0	0	0	7	6	0	6	13	2	35	11	8	2	6	20	7	8	7	4	1	5	3	0	3	15	1	15	0	2	2	3	0	0	7	86	3	3	2	5	1	10	23	10	3	1	2	3	3	0	3	2	8	4	7	8	5	9	0	9	11	1	12	7	20	5	4	3	4	14	2	4	5	3	8	3	3	4	3	3	8	13	0	12	1	2	2	4	3	7	5	3	0	2	2	7	2	0	5	49	4	18	0	2	18	7	3	3	7	1	3	1	4	7	3	0	4	1	0	6	18	1	1	10	1	2	3	5	2	2	14	6	11	2	3	0	45	30	4	48	13	46	4	5	1	10	3	7	10	5	13	8	1
Joel on Software	4	0	1	6	0	0	3	4	21	0	1	23	1	0	2	6	2	0	1	0	2	8	1	21	9	11	4	3	4	4	38	1	3	4	18	11	0	2	4	1	6	1	8	2	5	10	1	0	5	2	8	0	11	7	0	1	6	10	4	0	10	3	0	2	1	2	5	0	2	3	4	0	4	2	0	8	0	2	3	6	15	3	0	4	0	4	1	8	4	2	3	0	0	16	1	2	4	2	12	0	4	2	9	0	0	3	0	5	26	9	6	6	13	1	0	12	0	15	12	1	5	6	3	2	5	0	2	6	6	2	4	2	0	2	4	1	2	19	0	1	4	7	17	58	3	0	0	23	1	0	0	0	0	0	2	0	1	4	9	12	1	3	2	1	2	2	14	1	4	4	9	0	6	1	0	2	16	2	5	4	0	1	10	7	0	2	5	2	8	1	8	7	5	3	8	0	2	2	1	0	5	2	1	1	0	4	1	1	1	1	2	9	4	7	6	0	1	1	9	0	10	0	2	3	8	0	40	1	1	0	0	14	2	0	0	1	5	4	1	2	1	0	1	0	0	1	12	3	16	9	2	10	2	1	5	0	8	1	2	0	1	4	2	18	5	3	4	5	2	0	9	0	3	16	1	17	1	2	1	2	6	0	0	4	5	0	7	3	1	18	1	2	1	0	3	8	8	14	8	2	11	0	3	27	2	0	2	0	0	9	9	11	4	3	18	4	7	0	0	0	1	0	4	6	12	0	2	1	3	5	4	0	5	7	3	1	0	6	12	0	10	1	7	2	3	2	0	8	3	3	2	3	1	1	8	10	0	3	6	7	3	4	4	0	1	23	9	1	10	2	8	4	5	10	11	4	7	1	8	1	1	4	1	1	1	2	0	3	1	2	11	0	7	1	6	1	7	2	0	1	0	1	1	17	7	2	1	2	5	3	1	0	1	5	19	1	5	21	1	0	0	6	2	10	3	14	0	4	1	2	9	0	2	0	1	16	10	1	2	5	8	2	0	3	7	9	0	3	0	14	25	0	17	28	11	2	0	1	9	13	7	4	0	4	1	0
WIL WHEATON dot NET	0	0	0	9	0	3	6	0	7	0	1	7	4	0	3	1	3	2	5	0	4	5	4	8	2	10	2	3	0	2	12	3	3	11	15	0	0	2	3	1	9	2	3	2	0	2	1	1	4	0	9	0	6	3	0	6	2	5	1	0	5	0	0	1	2	1	0	0	0	2	2	0	1	1	0	0	1	9	0	2	12	0	2	2	1	0	1	6	1	7	1	0	0	2	3	6	0	1	7	2	1	0	5	4	0	1	3	2	3	0	2	5	1	0	5	7	0	0	6	0	1	3	0	1	2	0	1	10	1	0	0	0	3	2	4	3	1	17	0	0	0	7	2	5	2	1	0	8	2	0	0	0	4	5	0	2	0	4	1	7	0	1	2	3	5	5	0	4	4	0	5	0	2	2	2	0	5	6	2	2	0	0	3	2	2	2	2	2	0	0	0	3	6	1	3	0	4	3	0	2	4	0	0	0	0	4	1	0	1	3	0	1	1	0	1	2	0	0	3	1	3	0	0	6	0	1	1	1	1	0	0	2	0	0	0	0	0	2	1	7	0	0	3	1	0	2	0	1	4	3	3	2	3	1	6	3	1	1	4	1	5	2	1	9	15	1	1	1	4	1	2	1	0	10	0	15	1	0	0	1	0	0	2	12	2	0	2	9	1	0	0	0	2	0	3	11	9	9	4	3	6	13	2	9	3	1	0	2	0	2	3	1	2	0	1	0	0	0	0	3	2	0	1	0	1	4	0	1	6	3	1	3	6	5	3	2	1	0	2	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	6	3	1	1	2	0	0	1	0	0	0	2	4	0	22	4	4	5	5	7	15	1	1	0	3	0	0	2	0	2	0	4	0	1	0	5	4	5	3	1	3	0	5	0	5	1	1	0	0	1	3	1	1	0	5	1	3	0	5	2	19	0	3	4	0	0	0	0	1	1	0	0	0	4	0	1	2	0	3	1	5	1	1	1	0	6	5	2	0	0	5	8	0	0	0	8	7	0	3	6	8	0	2	0	4	8	4	4	0	5	1	2
Quick Online Tips	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Joystiq RSS Feed	0	0	3	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	15	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	3	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	13	0	0	0	0	10	1	2	0	0	1	0	3	0	0	2	0	0	2	0	0	2	0	0	1	10	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	1	0	4	3	14	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	1	1	0	2	0	0	1	0	2	0	0	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	10	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	2	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0
Derek Powazek	0	1	0	6	0	0	0	0	1	1	0	7	1	0	0	0	1	0	1	0	0	1	5	1	1	3	2	1	4	2	2	0	4	2	4	0	1	1	0	0	5	1	1	1	0	1	0	0	1	1	4	1	0	1	2	0	0	1	3	0	3	0	9	3	0	0	1	0	0	0	2	0	0	0	0	1	0	1	4	1	2	0	1	2	0	0	0	3	1	7	0	0	0	1	4	2	4	1	4	2	0	1	4	2	0	1	0	1	5	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	11	1	1	1	0	0	0	1	0	3	3	0	0	0	7	2	6	1	3	0	7	1	1	1	0	0	2	0	0	1	3	2	0	1	1	1	2	0	3	1	0	4	0	10	0	4	0	0	0	2	2	1	4	0	1	0	2	2	0	0	1	1	0	0	0	1	0	1	0	1	1	2	0	0	1	0	1	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	1	4	0	0	2	0	0	0	2	1	0	1	1	0	7	0	0	0	2	1	1	0	0	5	0	2	0	0	0	1	1	1	3	0	2	1	0	0	2	3	1	0	0	1	4	12	0	0	3	3	1	4	0	3	1	1	11	0	1	1	0	2	1	0	4	0	0	0	1	3	0	0	0	0	2	4	4	4	3	7	0	2	3	5	6	0	0	4	0	0	1	0	0	3	0	3	0	0	0	0	2	0	0	0	0	9	1	0	1	1	1	1	0	3	0	1	0	0	0	2	0	1	0	0	1	0	2	0	0	0	2	0	1	0	1	4	2	0	1	1	0	0	1	1	2	1	3	0	0	15	0	5	2	1	1	0	4	1	2	2	3	1	0	1	0	0	1	0	1	0	0	2	0	1	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	3	0	11	0	1	7	0	0	0	0	1	0	1	1	2	5	0	3	1	0	2	3	1	0	0	0	0	1	0	2	2	0	5	8	0	2	0	3	9	0	4	2	1	0	1	2	6	3	2	2	0	2	0	6
Jeremy Zawodny's blog	1	2	3	6	0	0	4	0	3	5	1	5	2	2	2	0	1	2	2	0	4	4	1	5	0	17	0	2	5	0	6	0	2	16	23	3	5	0	4	3	8	3	11	2	0	0	2	4	3	0	8	0	8	3	5	0	4	3	1	2	8	0	1	4	5	1	2	0	0	2	5	0	0	1	1	2	1	0	1	1	12	0	0	7	0	0	4	10	2	2	1	0	2	4	2	13	0	2	9	0	14	0	28	6	1	4	0	0	2	4	2	5	0	6	1	13	0	1	7	1	3	6	0	1	2	0	3	7	5	1	0	0	0	3	2	2	0	6	0	0	1	16	7	26	4	4	0	6	4	0	3	0	2	2	0	11	0	2	0	13	0	2	1	0	1	2	1	3	4	2	5	0	2	0	0	0	4	0	7	2	0	0	1	1	1	1	3	0	4	0	1	3	7	0	16	2	0	2	1	0	5	1	0	2	0	1	2	3	0	0	6	4	1	0	1	0	1	0	1	0	9	0	0	1	2	0	0	4	3	4	0	5	0	2	0	2	2	7	0	1	1	0	9	0	0	0	0	2	4	6	3	3	3	0	12	0	2	2	6	1	0	0	2	1	6	0	1	0	2	1	1	0	6	4	4	9	0	0	2	0	25	1	1	7	1	0	5	3	3	0	4	3	2	0	11	3	3	13	2	2	24	0	2	16	0	4	4	8	0	2	1	0	3	1	0	3	2	2	0	0	4	0	2	1	6	0	0	3	2	6	4	0	5	2	0	0	0	1	8	0	2	3	4	0	1	1	2	11	0	2	0	1	3	2	8	8	0	0	0	0	0	3	4	0	0	1	8	0	17	5	9	0	5	8	1	0	1	4	5	6	0	1	1	0	0	3	3	0	1	3	2	0	5	2	5	0	3	0	3	4	1	0	0	2	3	1	0	2	1	1	3	0	4	1	16	3	3	19	0	2	0	1	0	0	3	2	0	1	0	0	0	0	0	10	1	0	10	2	0	10	2	1	0	0	13	7	0	0	3	22	8	0	13	9	5	1	1	1	5	6	6	0	0	7	0	1
